Date,Product,Currency,Value
30 October 2019,LME Zinc,US$,"2,563.50"
30 October 2019,LME Nickel,US$,"16,900.00"
30 October 2019,LME Lead,US$,"2,255.50"
30 October 2019,LME Tin,US$,"16,800.00"
30 October 2019,LME Aluminium Alloy,US$,"1,370.00"
30 October 2019,LME NASAAC,US$,"1,150.00"
30 October 2019,LME Cobalt,US$,"35,500.00"
30 October 2019,LME Gold,US$,"1,488.80"
30 October 2019,LME Silver,US$,17.720
30 October 2019,LME Steel Scrap,US$,252.00
30 October 2019,LME Steel Rebar,US$,414.50
31 October 2019,LME Aluminium,US$,"1,742.50"
31 October 2019,LME Copper,US$,"5,825.00"
31 October 2019,LME Zinc,US$,"2,543.00"
31 October 2019,LME Nickel,US$,"16,835.00"
31 October 2019,LME Lead,US$,"2,210.00"
31 October 2019,LME Tin,US$,"16,750.00"
31 October 2019,LME Aluminium Alloy,US$,"1,370.00"
31 October 2019,LME NASAAC,US$,"1,190.00"
31 October 2019,LME Cobalt,US$,"35,500.00"
31 October 2019,LME Gold,US$,"1,512.20"
31 October 2019,LME Silver,US$,18.065
31 October 2019,LME Steel Scrap,US$,253.00
31 October 2019,LME Steel Rebar,US$,410.00
31 October 2019,LME Aluminium,US$,"1,742.50"
31 October 2019,LME Copper,US$,"5,825.00"
31 October 2019,LME Zinc,US$,"2,543.00"
31 October 2019,LME Nickel,US$,"16,835.00"
31 October 2019,LME Lead,US$,"2,210.00"
31 October 2019,LME Tin,US$,"16,750.00"
31 October 2019,LME Aluminium Alloy,US$,"1,370.00"
31 October 2019,LME NASAAC,US$,"1,190.00"
31 October 2019,LME Cobalt,US$,"35,500.00"
31 October 2019,LME Gold,US$,"1,512.20"
31 October 2019,LME Silver,US$,18.065
31 October 2019,LME Steel Scrap,US$,253.00
31 October 2019,LME Steel Rebar,US$,410.00
31 October 2019,LME Aluminium,US$,"1,742.50"
31 October 2019,LME Copper,US$,"5,825.00"
31 October 2019,LME Zinc,US$,"2,543.00"
31 October 2019,LME Nickel,US$,"16,835.00"
31 October 2019,LME Lead,US$,"2,210.00"
31 October 2019,LME Tin,US$,"16,750.00"
31 October 2019,LME Aluminium Alloy,US$,"1,370.00"
31 October 2019,LME NASAAC,US$,"1,190.00"
31 October 2019,LME Cobalt,US$,"35,500.00"
31 October 2019,LME Gold,US$,"1,512.20"
31 October 2019,LME Silver,US$,18.065
31 October 2019,LME Steel Scrap,US$,253.00
31 October 2019,LME Steel Rebar,US$,410.00
31 October 2019,LME Aluminium,US$,"1,742.50"
31 October 2019,LME Copper,US$,"5,825.00"
31 October 2019,LME Zinc,US$,"2,543.00"
31 October 2019,LME Nickel,US$,"16,835.00"
31 October 2019,LME Lead,US$,"2,210.00"
31 October 2019,LME Tin,US$,"16,750.00"
31 October 2019,LME Aluminium Alloy,US$,"1,370.00"
31 October 2019,LME NASAAC,US$,"1,190.00"
31 October 2019,LME Cobalt,US$,"35,500.00"
31 October 2019,LME Gold,US$,"1,512.20"
31 October 2019,LME Silver,US$,18.065
31 October 2019,LME Steel Scrap,US$,253.00
31 October 2019,LME Steel Rebar,US$,410.00
31 October 2019,LME Aluminium,US$,"1,742.50"
31 October 2019,LME Copper,US$,"5,825.00"
31 October 2019,LME Zinc,US$,"2,543.00"
31 October 2019,LME Nickel,US$,"16,835.00"
31 October 2019,LME Lead,US$,"2,210.00"
31 October 2019,LME Tin,US$,"16,750.00"
31 October 2019,LME Aluminium Alloy,US$,"1,370.00"
31 October 2019,LME NASAAC,US$,"1,190.00"
31 October 2019,LME Cobalt,US$,"35,500.00"
31 October 2019,LME Gold,US$,"1,512.20"
31 October 2019,LME Silver,US$,18.065
31 October 2019,LME Steel Scrap,US$,253.00
31 October 2019,LME Steel Rebar,US$,410.00
31 October 2019,LME Aluminium,US$,"1,742.50"
31 October 2019,LME Copper,US$,"5,825.00"
31 October 2019,LME Zinc,US$,"2,543.00"
31 October 2019,LME Nickel,US$,"16,835.00"
31 October 2019,LME Lead,US$,"2,210.00"
31 October 2019,LME Tin,US$,"16,750.00"
31 October 2019,LME Aluminium Alloy,US$,"1,370.00"
31 October 2019,LME NASAAC,US$,"1,190.00"
31 October 2019,LME Cobalt,US$,"35,500.00"
31 October 2019,LME Gold,US$,"1,512.20"
31 October 2019,LME Silver,US$,18.065
31 October 2019,LME Steel Scrap,US$,253.00
31 October 2019,LME Steel Rebar,US$,410.00
31 October 2019,LME Aluminium,US$,"1,742.50"
31 October 2019,LME Copper,US$,"5,825.00"
31 October 2019,LME Zinc,US$,"2,543.00"
31 October 2019,LME Nickel,US$,"16,835.00"
31 October 2019,LME Lead,US$,"2,210.00"
31 October 2019,LME Tin,US$,"16,750.00"
31 October 2019,LME Aluminium Alloy,US$,"1,370.00"
31 October 2019,LME NASAAC,US$,"1,190.00"
31 October 2019,LME Cobalt,US$,"35,500.00"
31 October 2019,LME Gold,US$,"1,512.20"
31 October 2019,LME Silver,US$,18.065
31 October 2019,LME Steel Scrap,US$,253.00
31 October 2019,LME Steel Rebar,US$,410.00
